Date, Open, High, Low, Close, Volume
29/12/2023,14,14,13.8,13.9,396700
28/12/2023,13.9,14.1,13.6,13.7,5262500
27/12/2023,13.55,14,13.5,13.6,14199200
22/12/2023,13.8,13.8,13.5,13.55,1740200
21/12/2023,13.8,13.8,13.5,13.55,5824300
20/12/2023,13.5,13.8,13.5,13.5,6908500
19/12/2023,13.9,13.9,13.4,13.5,11518300
18/12/2023,14,14,13.5,13.85,5857300
15/12/2023,14.4,14.45,13.7,14.1,753200
14/12/2023,14.45,14.45,14.2,14.4,6830400
13/12/2023,14.45,14.5,14.35,14.45,14879800
11/12/2023,14.55,14.55,14.35,14.5,1768900
8/12/2023,14.6,14.6,14.4,14.55,2899700
7/12/2023,14.9,14.9,14.4,14.55,1248800
6/12/2023,14.95,15.1,14.3,14.6,59683102
5/12/2023,14.55,15.2,14.5,14.8,8039500
4/12/2023,14.5,14.55,14,14.5,1972800
1/12/2023,14.2,14.4,14,14.05,1213300
30/11/2023,13.9,14.45,13.8,14.05,16439400
29/11/2023,14,14.2,13.75,14,9416400
28/11/2023,13.95,14.4,13.7,14,13252700
27/11/2023,13.75,13.8,13.35,13.45,2743600
24/11/2023,13.7,13.75,13.65,13.7,219500
23/11/2023,13.7,13.7,13.45,13.6,885500
22/11/2023,13.5,14,13.45,13.7,3260900
21/11/2023,13.5,13.8,13.3,13.45,4615700
20/11/2023,13.45,13.5,13.05,13.4,2454400
17/11/2023,13.5,13.55,13.05,13.45,7093700
16/11/2023,13.95,14,13.3,13.5,3915000
15/11/2023,13.95,13.95,13.45,13.5,6066600
14/11/2023,13.5,14,13,13.3,1883200
10/11/2023,13.5,14.3,13.3,13.5,59099801
9/11/2023,13.15,13.75,12.95,13.3,17306000
8/11/2023,12.15,13.15,12.15,12.45,371700
7/11/2023,12,12.3,11.8,12,12695600
6/11/2023,11.65,12.05,11.5,11.95,3796900
3/11/2023,12,12,11.5,11.65,5888700
2/11/2023,12.5,12.5,11.95,12.1,705400
1/11/2023,12.45,12.5,12.2,12.3,811900
31/10/2023,12.5,12.5,12.35,12.45,2338500
30/10/2023,12.5,13,12.45,12.5,14855700
27/10/2023,12.7,13.3,12.5,12.5,72111602
26/10/2023,12.5,12.7,12.4,12.45,6886500
25/10/2023,12.9,13,12.3,12.5,8052800
24/10/2023,13.75,13.75,12.7,13,1458400
23/10/2023,13.9,13.9,13,13.6,11962300
19/10/2023,13.8,13.8,13.7,13.8,6356700
18/10/2023,13.7,13.95,13.65,13.8,10979700
17/10/2023,14,14,13.65,13.8,504600
16/10/2023,14,14.2,13.8,13.95,1711200
13/10/2023,14,14,13.85,13.95,900800
12/10/2023,14,14.35,13.85,14,1661300
11/10/2023,14.4,14.4,13.8,13.9,5405200
9/10/2023,14,14,13.8,14,809100
6/10/2023,14.3,14.65,13.85,14,48233398
5/10/2023,14.7,14.7,14.25,14.5,2483600
4/10/2023,15,15,14.55,14.65,574900
3/10/2023,14.7,14.8,14.6,14.7,2602000
2/10/2023,14.6,14.9,14.6,14.65,1919700
29/9/2023,14.6,14.7,14.5,14.6,2270500
28/9/2023,14.85,14.85,14.5,14.6,2383000
27/9/2023,14.9,14.9,14.65,14.7,3180700
26/9/2023,14.95,14.95,14.8,14.9,299700
25/9/2023,15,15,14.8,14.95,2139000
22/9/2023,15,15.3,14.9,15,8289600
21/9/2023,15.25,15.3,14.85,14.95,1273300
20/9/2023,15.5,15.5,14.95,15,32720500
19/9/2023,15.7,15.7,15.2,15.4,935300
18/9/2023,16,16,15.45,15.6,1446800
15/9/2023,15.7,16,15.5,15.75,1722600
14/9/2023,15.5,15.95,15.25,15.5,15168100
13/9/2023,15.4,15.75,14.9,15.3,8023600
12/9/2023,16,16,15.25,15.35,1665700
11/9/2023,16,16,15.5,15.75,10124400
8/9/2023,15.3,16.2,15.3,15.5,8584700
7/9/2023,15.3,15.45,15.2,15.25,1374300
6/9/2023,15.2,15.3,15.05,15.1,23586000
5/9/2023,15.4,15.4,15.05,15.1,11102200
4/9/2023,15.3,15.3,15,15.1,802900
1/9/2023,15.4,15.4,14.9,15.1,2761200
31/8/2023,15.7,15.7,15.2,15.4,1497600
30/8/2023,15.5,15.7,15.4,15.5,5767600
29/8/2023,15.5,15.5,15.35,15.45,1522500
28/8/2023,15.5,15.5,15.4,15.45,3574900
25/8/2023,15.75,15.75,15.3,15.5,671600
24/8/2023,16,16,15.7,15.75,520900
23/8/2023,15.85,15.95,15.2,15.55,3907600
22/8/2023,15.9,16,15.8,15.9,1019800
21/8/2023,16,16.25,15.85,15.95,975600
18/8/2023,16,16.25,15.95,16,1575200
17/8/2023,16,16.3,15.6,15.95,7023200
16/8/2023,15.95,15.95,15,15,30962801
15/8/2023,16,16,15.8,15.9,2795500
14/8/2023,16.2,16.2,15.5,15.9,5431200
11/8/2023,16,16.3,16,16.05,5178900
10/8/2023,16.6,16.6,16,16.15,1236200
9/8/2023,16.5,16.5,16.1,16.35,308100
8/8/2023,16.95,16.95,16,16.4,4449000
7/8/2023,17,17,16.65,16.75,599700
4/8/2023,17,17,16.75,16.8,597400
3/8/2023,16.85,16.9,16.7,16.8,1753000
2/8/2023,17.5,17.5,16.75,16.9,946700
1/8/2023,16.6,17.6,16.6,17.35,3925500
31/7/2023,17,17.3,16.6,16.9,558800
28/7/2023,17.5,17.7,16.5,16.6,208485906
27/7/2023,17,17.7,16.55,17.25,784600
26/7/2023,16.5,16.5,16,16.15,6423200
25/7/2023,17.5,17.7,16.5,16.8,8347100
24/7/2023,18,18.05,17.6,17.85,941600
21/7/2023,18.1,18.1,17.85,18,970100
20/7/2023,18.2,18.2,18,18.05,3894900
19/7/2023,18.1,18.55,18,18.15,1425600
18/7/2023,19.4,19.4,18,18.55,4618000
17/7/2023,19.2,19.5,19,19.3,314300
14/7/2023,19.4,19.5,19,19.2,930500
13/7/2023,19.65,19.65,19.3,19.4,437100
12/7/2023,19.8,19.8,19.4,19.7,5111900
11/7/2023,20,20,19.4,19.7,4534200
10/7/2023,19.2,20,19,19.55,2819500
7/7/2023,18.5,19.2,18.2,18.9,3157600
6/7/2023,17.8,18.45,17.6,17.85,18260100
5/7/2023,17.9,17.9,17.6,17.7,2346400
4/7/2023,18,18,17.6,17.8,15905700
3/7/2023,17.6,18,17.6,17.75,467500
30/6/2023,17.5,17.6,17.4,17.5,1626500
29/6/2023,17.5,17.6,17.2,17.45,329700
27/6/2023,17.8,17.8,17.2,17.4,867000
26/6/2023,17.8,17.8,17.45,17.5,8518700
23/6/2023,17.75,17.8,17.4,17.5,9481100
22/6/2023,17,17.8,17,17.45,4990500
21/6/2023,16.4,17,16.4,16.8,2504300
20/6/2023,16.1,16.5,15.9,16.25,1425100
19/6/2023,15.5,16.3,15.45,16.05,477200
16/6/2023,14.95,15.45,14.75,14.9,13905700
15/6/2023,15.6,15.8,14.75,14.85,2369800
14/6/2023,15.8,15.8,14.75,14.95,3786800
13/6/2023,16,16,14.9,15.05,8512100
12/6/2023,16.8,16.8,15.45,15.75,5374200
9/6/2023,16.85,16.85,16.45,16.6,568400
8/6/2023,16.95,16.95,16.5,16.7,1734900
7/6/2023,17,17,16.85,16.95,1410600
6/6/2023,17.2,17.2,16.9,17,3968700
5/6/2023,17.25,17.25,16.75,16.95,2200300
2/6/2023,17.25,17.25,16.7,16.95,10047000
31/5/2023,16,17.3,16,16.6,10822100
30/5/2023,15.7,16.75,15.3,15.9,15838100
29/5/2023,15,15.65,14.95,15.25,444100
26/5/2023,15.3,15.3,14.95,15.05,12117800
25/5/2023,15.35,15.35,15,15.05,22905400
24/5/2023,15.35,15.35,15,15.25,8640900
23/5/2023,15.45,15.45,14.95,15.3,2738400
22/5/2023,15.45,15.45,14.9,15.05,2271800
19/5/2023,15.5,15.5,14.8,15,2100500
18/5/2023,16,16.5,14.45,14.85,7282500
17/5/2023,15.7,15.7,15.2,15.5,18171801
16/5/2023,14.1,14.3,14.1,14.3,1219300
15/5/2023,13.25,14.5,12.7,13,22757400
12/5/2023,14.75,14.75,13.25,13.25,41634500
11/5/2023,15.7,15.7,14,14.7,18694699
10/5/2023,15.7,15.7,14.9,15.3,6690300
9/5/2023,16,16,15.25,15.6,3955000
8/5/2023,16,16,15.7,15.95,573100
5/5/2023,16.2,16.2,15.65,15.75,6391900
4/5/2023,16.5,16.5,15.95,16.25,16373300
3/5/2023,16.7,16.7,15.95,16.05,12831200
2/5/2023,16.5,16.8,16.45,16.5,937800
28/4/2023,16.8,16.8,16.35,16.5,10408200
27/4/2023,16.8,16.8,16.6,16.7,616200
26/4/2023,17,17,16.55,16.7,1559200
25/4/2023,16.7,17,16.45,16.5,13043100
24/4/2023,16.8,16.8,16.55,16.7,802400
20/4/2023,17,17.5,16.4,16.5,8316600
19/4/2023,17.4,17.4,16.65,16.7,4827100
18/4/2023,17.1,17.5,16.75,16.85,2256100
17/4/2023,17.7,17.7,16.8,17.05,3459200
14/4/2023,18,18,17.5,17.8,2620100
13/4/2023,18.35,18.4,17.25,17.85,2163500
12/4/2023,18.6,19,18.2,18.35,2908300
11/4/2023,18.5,19.3,18.35,18.45,5052300
6/4/2023,18.75,19.45,18.25,18.6,4375000
5/4/2023,18.2,18.5,18,18.05,24080000
4/4/2023,19,19,17.95,18,14295800
3/4/2023,19,19,18.1,18.15,3428600
31/3/2023,18,18.5,18,18.1,1704000
30/3/2023,18.2,18.5,17.8,18,15186300
29/3/2023,18.85,18.85,18,18.5,10100200
28/3/2023,18.9,18.9,18.4,18.5,5636200
27/3/2023,18.9,19,18.75,18.85,2344800
24/3/2023,19.4,19.4,18.5,18.9,29109400
23/3/2023,19,19.4,18.55,19,8703800
22/3/2023,19,20,18.95,19.1,5680900
21/3/2023,18,19.7,18,18.95,37107398
20/3/2023,17.3,17.95,17,17.95,15620600
17/3/2023,17,17.25,16.05,16.35,78127906
16/3/2023,18,18,16.45,17,39533699
15/3/2023,19.1,19.1,17.75,18,16825500
14/3/2023,19.5,19.85,18.9,19.1,3589700
13/3/2023,20.65,20.8,19.3,19.6,3227200
10/3/2023,21,21,20,20.6,1442700
9/3/2023,21,21.5,20.85,20.95,14873900
8/3/2023,22,22,20.85,20.95,28703400
7/3/2023,23,23,22,22.55,2794600
6/3/2023,23.6,23.6,22.8,23,4611000
3/3/2023,23.6,23.6,23,23.45,404700
2/3/2023,23.5,23.6,23,23.5,2949200
1/3/2023,23.5,23.55,23,23.35,2096800
28/2/2023,23.1,23.5,23.05,23.3,3743300
27/2/2023,23.5,23.5,22.9,23,8930200
24/2/2023,23.5,23.5,23.2,23.35,590100
23/2/2023,23.6,23.6,23.25,23.4,970100
22/2/2023,23.5,23.6,23.2,23.5,11200400
21/2/2023,23,23.6,23,23.45,1567800
20/2/2023,23.5,23.65,23.2,23.5,771800
17/2/2023,23.65,23.7,23.5,23.65,205400
16/2/2023,23.7,23.7,23.5,23.6,15340000
15/2/2023,23.7,23.7,23.5,23.7,3483300
14/2/2023,23.85,23.9,23.5,23.7,1185600
13/2/2023,24,24,23.55,23.75,390100
10/2/2023,24,24,23.6,23.9,4673200
9/2/2023,24.3,24.3,23.95,24.1,1112900
8/2/2023,24,24.3,23.7,24,1128700
7/2/2023,24.45,24.5,23.5,24,3603800
6/2/2023,24.5,24.95,24.25,24.45,9459700
3/2/2023,24.25,24.8,24.1,24.5,1746900
2/2/2023,24.1,24.25,23.75,24,2086300
1/2/2023,23.9,24.45,23.05,24,7298100
31/1/2023,23.2,23.6,23,23.4,1940200
30/1/2023,23.65,24,23,23.05,847500
27/1/2023,23.5,23.5,23,23.25,622600
26/1/2023,23.95,23.95,23,23.25,1304000
25/1/2023,23.2,24.95,23,23.55,12920300
24/1/2023,23,23.5,22.85,23.05,8077900
23/1/2023,22.95,23,22.5,23,2274700
20/1/2023,21.8,23.65,21.8,22.55,2449000
19/1/2023,21,22.05,21,21.75,107510305
18/1/2023,21,21.5,20.5,20.6,57134500
17/1/2023,21.5,21.5,20.5,21.1,4056800
16/1/2023,22,22,21,21.55,1927800
13/1/2023,22.15,22.35,21.5,22,2403000
12/1/2023,22.5,22.5,22.15,22.25,3003600
11/1/2023,22.85,22.85,22.5,22.65,689700
10/1/2023,23.5,23.5,22.8,22.95,5557600
9/1/2023,23.5,23.9,23.15,23.35,3736500
6/1/2023,23.9,23.9,23.4,23.5,2024400
5/1/2023,24,24,23.8,23.9,279300
4/1/2023,24,24,23.8,23.9,1882800
3/1/2023,24.15,24.4,24,24.05,575900
30/12/2022,24,24.5,24,24.15,13959200
29/12/2022,24.5,24.5,23.9,24,3306100
28/12/2022,24.7,24.7,24.3,24.45,153100
23/12/2022,24.75,24.8,24.3,24.6,624400
22/12/2022,25,25,24.5,24.7,1202000
21/12/2022,25,25,24.5,24.75,2791700
20/12/2022,25,25,24.6,24.8,901200
19/12/2022,25,25,24.8,24.9,264400
16/12/2022,25,25.3,24.75,24.95,4606000
15/12/2022,25.1,25.1,24.55,24.8,2925800
14/12/2022,24.65,25.1,24.65,25,1645100
13/12/2022,24.5,25,24.5,24.9,876500
9/12/2022,24.2,25,24.1,24.3,1258500
8/12/2022,24.5,24.5,24.05,24.1,6624500
7/12/2022,24.35,25,23.9,24.1,3595800
6/12/2022,24,24.4,23.5,23.85,2657200
5/12/2022,24.5,24.5,23,23.65,3762700
