Year,Month,Date,Annual_Average_Inflation,12-Month_Inflation,,,,,,,,
2007,April,30/4/2007,4.69,1.85,,,,,,,,
2007,May,31/5/2007,4.47,1.96,,,,,,,,
2007,March,31/3/2007,4.99,2.19,,,,,,,,
2007,February,28/2/2007,5.55,3.02,,,,,,,,
2010,October,31/10/2010,4.12,3.18,,,,,,,,
2012,December,31/12/2012,9.38,3.2,,,,,,,,
2010,September,30/09/2010,4.4,3.21,,,,,,,,
2010,August,31/8/2010,4.69,3.22,,,,,,,,
2012,November,30/11/2012,10.67,3.25,,,,,,,,
2010,June,30/6/2010,5.43,3.49,,,,,,,,
2010,July,31/7/2010,5.03,3.57,,,,,,,,
2010,April,30/4/2010,6.32,3.66,,,,,,,,
2013,January,31/1/2013,8.2,3.67,,,,,,,,
2005,October,31/10/2005,11.99,3.72,,,,,,,,
2018,April,30/4/2018,6.24,3.73,,,,,,,,
2019,September,30/9/2019,5.24,3.83,,,,,,,,
2010,November,30/11/2010,4.02,3.84,,,,,,,,
2010,May,31/5/2010,5.85,3.88,,,,,,,,
2018,May,31/5/2018,5.61,3.95,,,,,,,,
2010,March,31/3/2010,7.03,3.97,,,,,,,,
2018,August,31/8/2018,4.63,4.04,,,,,,,,
2013,May,31/5/2013,4.96,4.05,,,,,,,,
2007,June,30/6/2007,4.46,4.07,,,,,,,,
2013,March,31/3/2013,6.33,4.11,,,,,,,,
2019,February,28/2/2019,4.65,4.14,,,,,,,,
2013,April,30/4/2013,5.61,4.14,,,,,,,,
2012,October,31/10/2012,12.04,4.14,,,,,,,,
2006,July,31/7/2006,5.73,4.16,,,,,,,,
2018,March,31/3/2018,6.89,4.18,,,,,,,,
2020,September,30/9/2020,5.79,4.2,,,,,,,,
2005,September,30/9/2005,13.24,4.27,,,,,,,,
2018,June,30/6/2018,5.2,4.28,,,,,,,,
2006,June,30/6/2006,6.33,4.28,,,,,,,,
2019,March,31/3/2019,4.67,4.35,,,,,,,,
2018,July,31/7/2018,4.95,4.35,,,,,,,,
2020,August,31/8/2020,5.87,4.36,,,,,,,,
2020,July,31/7/2020,6.01,4.36,,,,,,,,
2005,November,30/11/2005,10.89,4.4,,,,,,,,
2013,February,28/2/2013,7.24,4.45,,,,,,,,
2018,February,28/2/2018,7.4,4.46,,,,,,,,
2006,May,31/5/2006,6.95,4.47,,,,,,,,
2019,May,31/5/2019,5.04,4.49,,,,,,,,
2017,December,31/12/2017,7.98,4.5,,,,,,,,
2010,December,31/12/2010,3.96,4.51,,,,,,,,
2020,June,30/6/2020,6.16,4.59,,,,,,,,
2007,January,31/1/2007,6.08,4.63,,,,,,,,
2019,January,31/1/2019,4.68,4.7,,,,,,,,
2005,December,31/12/2005,9.87,4.7,,,,,,,,
