Year,Month,Repo,Reverse_Repo,Interbank_Rate,91-Day Tbill,182-days Tbill,364-days Tbill,Cash_Reserve_Requirement,Central_Bank_Rate
1991,Jul,                 -  ,                 -  ,,17.14,                 -  ,                 -  ,                 -  ,                 -  
1991,Aug,                 -  ,                 -  ,,16.7,                 -  ,                 -  ,                 -  ,                 -  
1991,Sep,                 -  ,                 -  ,,17.18,                 -  ,                 -  ,                 -  ,                 -  
1991,Oct,                 -  ,                 -  ,,17.78,                 -  ,                 -  ,,
1991,Nov,                 -  ,                 -  ,,16.95,                 -  ,                 -  ,,
1991,Dec,                 -  ,                 -  ,,17.31,                 -  ,                 -  ,,
1992,Jan,                 -  ,                 -  ,,18.2,                 -  ,                 -  ,,
1992,Feb,                 -  ,                 -  ,,17.19,                 -  ,                 -  ,,
1992,Mar,                 -  ,                 -  ,,17.9,                 -  ,                 -  ,,
1992,Apr,                 -  ,                 -  ,,18.05,                 -  ,                 -  ,,
1992,May,                 -  ,                 -  ,,18.32,                 -  ,                 -  ,,
1992,Jun,                 -  ,                 -  ,,18.76,                 -  ,                 -  ,,
1992,Jul,                 -  ,                 -  ,,17.67,                 -  ,                 -  ,,
1992,Aug,                 -  ,                 -  ,,17.76,                 -  ,                 -  ,,
1992,Sep,                 -  ,                 -  ,,18.43,                 -  ,                 -  ,,
1992,Oct,                 -  ,                 -  ,,19.41,                 -  ,                 -  ,,
1992,Nov,                 -  ,                 -  ,,18.01,                 -  ,                 -  ,,
1992,Dec,                 -  ,                 -  ,,18.14,                 -  ,                 -  ,,
1993,Jan,                 -  ,                 -  ,,17.87,                 -  ,                 -  ,,
1993,Feb,                 -  ,                 -  ,,17.86,                 -  ,                 -  ,,
1993,Mar,                 -  ,                 -  ,,25.07,                 -  ,                 -  ,,
1993,Apr,                 -  ,                 -  ,,45.79,                 -  ,                 -  ,,
1993,May,                 -  ,                 -  ,,68.04,                 -  ,                 -  ,,
1993,Jun,                 -  ,                 -  ,,84.29,                 -  ,                 -  ,,
1993,Jul,                 -  ,                 -  ,,84.67,                 -  ,                 -  ,,
1993,Aug,                 -  ,                 -  ,,79.51,                 -  ,                 -  ,,
1993,Sep,                 -  ,                 -  ,,75.69,                 -  ,                 -  ,,
1993,Oct,                 -  ,                 -  ,,70.88,                 -  ,                 -  ,,
1993,Nov,                 -  ,                 -  ,,55.26,                 -  ,                 -  ,,
1993,Dec,                 -  ,                 -  ,,43.52,                 -  ,                 -  ,,
1994,Jan,                 -  ,                 -  ,,33.55,                 -  ,                 -  ,,
1994,Feb,                 -  ,                 -  ,,23.87,26.44,                 -  ,,
1994,Mar,                 -  ,                 -  ,,27.62,29.68,                 -  ,,
1994,Apr,                 -  ,                 -  ,,30.85,29.24,                 -  ,,
1994,May,                 -  ,                 -  ,,31.24,32.58,                 -  ,,
1994,Jun,                 -  ,                 -  ,,32.38,33.98,                 -  ,,
1994,Jul,                 -  ,                 -  ,,29.74,32.42,                 -  ,,
1994,Aug,                 -  ,                 -  ,,24.13,25.05,                 -  ,,
1994,Sep,                 -  ,                 -  ,,17.39,24.32,                 -  ,,
1994,Oct,                 -  ,                 -  ,,16.95,15.89,                 -  ,,
1994,Nov,                 -  ,                 -  ,,17.22,16.16,                 -  ,,
1994,Dec,                 -  ,                 -  ,,17.49,18.22,                 -  ,,
1995,Jan,                 -  ,                 -  ,,16.74,18.52,                 -  ,,
1995,Feb,                 -  ,                 -  ,,17.63,18.46,                 -  ,,
1995,Mar,                 -  ,                 -  ,,16.84,17.33,                 -  ,,
1995,Apr,                 -  ,                 -  ,,15.16,15.82,                 -  ,,
1995,May,                 -  ,                 -  ,,15.09,15.84,                 -  ,,
1995,Jun,                 -  ,                 -  ,,16.39,17.06,                 -  ,,
1995,Jul,                 -  ,                 -  ,,18.48,18.61,                 -  ,,
